logt,num,J,J-H
6.6,0,9.187000000000001,0.6990000000000001
6.6,1,8.601,0.726
6.6,2,8.192,0.755
6.6,3,7.869,0.787
6.6,4,7.582999999999999,0.82
6.6,5,7.257999999999999,0.825
6.6,6,6.962000000000001,0.78
6.6,7,6.68,0.727
6.6,8,6.098,0.7140000000000001
6.6,9,5.518,0.672
6.6,10,4.948,0.565
6.6,11,4.4719999999999995,0.446
6.6,12,4.062,0.36200000000000004
6.6,13,3.674,0.314
6.6,14,3.25,0.259
6.6,15,2.918,0.214
6.6,16,2.6460000000000004,0.185
6.6,17,2.4330000000000003,0.14300000000000002
6.6,18,2.259,0.102
6.6,19,2.106,0.057999999999999996
6.6,20,1.994,0.033
6.6,21,1.89,0.017
6.6,22,1.837,0.01
6.6,23,1.7369999999999999,0.006999999999999999
6.6,24,1.5830000000000002,-0.01
6.6,25,1.3219999999999998,-0.03
6.6,26,0.946,-0.040999999999999995
6.6,27,0.628,-0.049
6.6,28,0.52,-0.054000000000000006
6.6,29,0.355,-0.062
6.6,30,0.135,-0.061
6.6,31,-0.08199999999999999,-0.069
6.6,32,-0.462,-0.077
6.6,33,-0.794,-0.086
6.6,34,-1.4040000000000001,-0.1
6.6,35,-2.096,-0.11699999999999999
6.6,36,-2.309,-0.11900000000000001
6.6,37,-2.67,-0.125
6.6,38,-3.398,-0.125
6.6,39,-3.4560000000000004,-0.124
6.6,40,-4.144,-0.127
6.6,41,-4.655,-0.122
6.6,42,-4.72,-0.121
6.6,43,-5.523,-0.11900000000000001
6.6,44,-6.314,-0.102
6.6,45,-6.737,-0.09
6.6,46,-7.587000000000001,-0.068
6.6,47,-8.587,-0.028999999999999998
6.6,48,-7.44,-0.08
6.6,49,-7.067,-0.09
6.6,50,-6.879,-0.1
6.6,51,-6.621,-0.109
6.6,52,-6.327000000000001,-0.12
6.6,53,-6.555,-0.113
6.6,54,-6.891,-0.107
6.6,55,-7.211,-0.09
6.6,56,-7.405,-0.085
6.6,57,-7.694,-0.08
6.6,58,-7.895,-0.075
6.6,59,-8.103,-0.064
6.6,60,-8.331,-0.052000000000000005
6.6,61,-8.633,-0.04
6.6,62,-8.988999999999999,-0.03
6.6,63,-9.37,-0.016
6.6,64,-9.496,-0.008
6.6,65,-9.85,0.013999999999999999
6.6,66,-10.006,0.040999999999999995
6.6,67,-10.094,0.05
6.6,68,-10.125,0.05
6.6,69,-10.15,0.05
6.6,70,-10.177999999999999,0.05
6.6,71,-10.228,0.052000000000000005
6.6,72,-10.267999999999999,0.057
6.6,73,-10.32,0.063
6.6,74,-10.399000000000001,0.073
6.6,75,-10.46,0.087
6.6,76,-10.523,0.1
6.6,77,-10.604000000000001,0.11900000000000001
6.6,78,-10.699000000000002,0.14300000000000002
6.6,79,-10.845999999999998,0.168
6.65,0,9.187000000000001,0.6990000000000001
6.65,1,8.601,0.726
6.65,2,8.192,0.755
6.65,3,7.869,0.787
6.65,4,7.582999999999999,0.82
6.65,5,7.257999999999999,0.825
6.65,6,6.962000000000001,0.78
6.65,7,6.68,0.727
6.65,8,6.098,0.7140000000000001
6.65,9,5.518,0.672
6.65,10,4.948,0.565
6.65,11,4.4719999999999995,0.446
6.65,12,4.062,0.36200000000000004
6.65,13,3.674,0.314
6.65,14,3.25,0.26
6.65,15,2.918,0.214
6.65,16,2.6460000000000004,0.185
6.65,17,2.4330000000000003,0.14300000000000002
6.65,18,2.259,0.102
6.65,19,2.106,0.057999999999999996
6.65,20,1.994,0.033
6.65,21,1.89,0.017
6.65,22,1.837,0.01
6.65,23,1.7380000000000002,0.006
6.65,24,1.5830000000000002,-0.01
6.65,25,1.3219999999999998,-0.03
6.65,26,0.946,-0.04
6.65,27,0.635,-0.049
6.65,28,0.627,-0.049
6.65,29,0.618,-0.05
6.65,30,0.35200000000000004,-0.063
6.65,31,0.131,-0.061
6.65,32,-0.087,-0.069
6.65,33,-0.469,-0.077
6.65,34,-0.804,-0.086
6.65,35,-1.42,-0.1
6.65,36,-2.124,-0.11699999999999999
6.65,37,-2.157,-0.11800000000000001
6.65,38,-2.717,-0.125
6.65,39,-3.221,-0.129
6.65,40,-3.5439999999999996,-0.128
6.65,41,-3.932,-0.12300000000000001
6.65,42,-4.63,-0.128
6.65,43,-4.996,-0.12
6.65,44,-5.247999999999999,-0.11900000000000001
6.65,45,-6.3020000000000005,-0.09
6.65,46,-7.144,-0.078
6.65,47,-8.912,0.003
6.65,48,-8.999,0.01
6.65,49,-8.63,-0.019
6.65,50,-7.7989999999999995,-0.05
6.65,51,-7.426,-0.073
6.65,52,-7.272,-0.08
6.65,53,-7.167000000000001,-0.08
6.65,54,-7.086,-0.08
6.65,55,-7.254,-0.08
6.65,56,-7.392,-0.079
6.65,57,-7.55,-0.07200000000000001
6.65,58,-7.675,-0.065
6.65,59,-7.808,-0.057999999999999996
6.65,60,-7.95,-0.05
6.65,61,-8.112,-0.043
6.65,62,-8.297,-0.04
6.65,63,-8.463,-0.034
6.65,64,-8.672,-0.027000000000000003
6.65,65,-8.834,-0.02
6.65,66,-8.976,-0.013999999999999999
6.65,67,-9.128,-0.003
6.65,68,-9.267000000000001,0.01
6.65,69,-9.376,0.01
6.65,70,-9.48,0.022000000000000002
6.65,71,-9.57,0.038
6.65,72,-9.658,0.05
6.65,73,-9.764,0.05
6.65,74,-9.845,0.059000000000000004
6.65,75,-9.946,0.073
6.65,76,-10.084,0.10300000000000001
6.65,77,-10.197000000000001,0.134
6.65,78,-10.302999999999999,0.156
6.65,79,-10.415999999999999,0.19399999999999998
6.65,80,-10.529000000000002,0.21899999999999997
6.65,81,-10.647,0.239
6.7,0,9.187000000000001,0.6990000000000001
6.7,1,8.601,0.726
6.7,2,8.192,0.755
6.7,3,7.869,0.787
6.7,4,7.582999999999999,0.82
6.7,5,7.257999999999999,0.825
6.7,6,6.962000000000001,0.78
6.7,7,6.68,0.727
6.7,8,6.098,0.7140000000000001
6.7,9,5.518,0.672
6.7,10,4.948,0.565
6.7,11,4.4719999999999995,0.447
6.7,12,4.062,0.363
6.7,13,3.673,0.314
6.7,14,3.25,0.26
6.7,15,2.918,0.214
6.7,16,2.6460000000000004,0.185
6.7,17,2.4330000000000003,0.14300000000000002
6.7,18,2.259,0.102
6.7,19,2.1069999999999998,0.057999999999999996
6.7,20,1.995,0.033
6.7,21,1.89,0.017
6.7,22,1.837,0.01
6.7,23,1.74,0.006999999999999999
6.7,24,1.5830000000000002,-0.01
6.7,25,1.3219999999999998,-0.028999999999999998
6.7,26,0.946,-0.04
6.7,27,0.73,-0.045
6.7,28,0.625,-0.049
6.7,29,0.349,-0.063
6.7,30,0.127,-0.061
6.7,31,-0.092,-0.069
6.7,32,-0.47700000000000004,-0.077
6.7,33,-0.815,-0.086
6.7,34,-1.367,-0.1
6.7,35,-1.4380000000000002,-0.1
6.7,36,-2.05,-0.113
6.7,37,-2.161,-0.11699999999999999
6.7,38,-2.7689999999999997,-0.124
6.7,39,-3.035,-0.128
6.7,40,-3.647,-0.128
6.7,41,-3.717,-0.129
6.7,42,-4.431,-0.12300000000000001
6.7,43,-5.127999999999999,-0.11900000000000001
6.7,44,-5.551,-0.109
6.7,45,-5.938,-0.095
6.7,46,-6.678,-0.08
6.7,47,-7.872000000000001,-0.039
6.7,48,-7.9239999999999995,-0.038
6.7,49,-7.232,-0.066
6.7,50,-7.11,-0.076
6.7,51,-7.0,-0.079
6.7,52,-6.935,-0.08
6.7,53,-7.007999999999999,-0.08
6.7,54,-7.064,-0.08
6.7,55,-7.112,-0.079
6.7,56,-7.167000000000001,-0.077
6.7,57,-7.225,-0.073
6.7,58,-7.287000000000001,-0.069
6.7,59,-7.36,-0.065
6.7,60,-7.438,-0.061
6.7,61,-7.504,-0.057999999999999996
6.7,62,-7.574,-0.054000000000000006
6.7,63,-7.653,-0.049
6.7,64,-7.73,-0.047
6.7,65,-7.829,-0.040999999999999995
6.7,66,-7.912999999999999,-0.04
6.7,67,-7.992000000000001,-0.039
6.7,68,-8.08,-0.039
6.7,69,-8.175,-0.032
6.7,70,-8.285,-0.03
6.7,71,-8.402999999999999,-0.023
6.7,72,-8.524,-0.02
6.7,73,-8.65,-0.015
6.7,74,-8.742,-0.008
6.7,75,-8.85,0.0
6.7,76,-8.951,0.01
6.7,77,-9.05,0.01
6.7,78,-9.158999999999999,0.023
6.7,79,-9.24,0.04
6.7,80,-9.326,0.05
6.7,81,-9.382,0.051
6.7,82,-9.463,0.057999999999999996
6.7,83,-9.57,0.07400000000000001
6.7,84,-9.722000000000001,0.109
