logt,num,r,Hindex
6.6,0,12.277000000000001,0.29594000000000004
6.6,1,11.317,0.26794
6.6,2,10.713,0.25544
6.6,3,10.245999999999999,0.253835
6.6,4,9.841000000000001,0.25529
6.6,5,9.432,0.257315
6.6,6,9.02,0.249875
6.6,7,8.591000000000001,0.24180500000000002
6.6,8,8.166,0.230345
6.6,9,7.766,0.21694499999999997
6.6,10,6.952999999999999,0.19552999999999998
6.6,11,6.167999999999999,0.18056
6.6,12,5.474,0.164915
6.6,13,4.9110000000000005,0.1509
6.6,14,4.418,0.13721
6.6,15,3.8819999999999997,0.1195
6.6,16,3.465,0.102075
6.6,17,3.103,0.08365
6.6,18,2.8,0.05945
6.6,19,2.5140000000000002,0.029455000000000002
6.6,20,2.261,0.00248
6.6,21,2.063,-0.01521
6.6,22,1.901,-0.02084
6.6,23,1.8259999999999998,-0.0209
6.6,24,1.699,-0.01845
6.6,25,1.484,-0.00908
6.6,26,1.156,0.012555
6.6,27,0.6970000000000001,0.038945
6.6,28,0.327,0.05313
6.6,29,0.205,0.05711
6.6,30,0.013999999999999999,0.062825
6.6,31,-0.243,0.07003
6.6,32,-0.48700000000000004,0.07399
6.6,33,-0.917,0.08142
6.6,34,-1.285,0.085605
6.6,35,-1.9469999999999998,0.09377
6.6,36,-2.688,0.10169
6.6,37,-2.915,0.10367
6.6,38,-3.303,0.107385
6.6,39,-4.044,0.11712
6.6,40,-4.102,0.11812
6.6,41,-4.798,0.120875
6.6,42,-5.303999999999999,0.12063
6.6,43,-5.369,0.12063
6.6,44,-6.14,0.120425
6.6,45,-6.86,0.12179000000000001
6.6,46,-7.247000000000001,0.116095
6.6,47,-7.989,0.11552
6.6,48,-8.81,0.10278
6.65,0,12.277000000000001,0.29594000000000004
6.65,1,11.317,0.26794
6.65,2,10.713,0.25544
6.65,3,10.245999999999999,0.25359
6.65,4,9.841000000000001,0.25529
6.65,5,9.432,0.257315
6.65,6,9.02,0.249875
6.65,7,8.591000000000001,0.24180500000000002
6.65,8,8.166,0.230345
6.65,9,7.766,0.21694499999999997
6.65,10,6.952999999999999,0.19552999999999998
6.65,11,6.167000000000001,0.180805
6.65,12,5.474,0.164915
6.65,13,4.9110000000000005,0.1509
6.65,14,4.418,0.137965
6.65,15,3.8819999999999997,0.1195
6.65,16,3.465,0.102075
6.65,17,3.103,0.08365
6.65,18,2.8,0.05945
6.65,19,2.5140000000000002,0.029455000000000002
6.65,20,2.261,0.002725
6.65,21,2.064,-0.014455
6.65,22,1.901,-0.01984
6.65,23,1.8259999999999998,-0.0209
6.65,24,1.7,-0.01845
6.65,25,1.484,-0.00908
6.65,26,1.156,0.013555000000000001
6.65,27,0.6970000000000001,0.038945
6.65,28,0.335,0.05313
6.65,29,0.326,0.05313
6.65,30,0.317,0.05413
6.65,31,0.012,0.062825
6.65,32,-0.247,0.069275
6.65,33,-0.491,0.07499
6.65,34,-0.924,0.08142
6.65,35,-1.294,0.08536
6.65,36,-1.963,0.09377
6.65,37,-2.715,0.10144500000000001
6.65,38,-2.75,0.10169
6.65,39,-3.3489999999999998,0.10714000000000001
6.65,40,-3.859,0.113875
6.65,41,-4.19,0.116875
6.65,42,-4.58,0.118875
6.65,43,-5.275,0.11914000000000001
6.65,44,-5.611000000000001,0.12191500000000001
6.65,45,-5.864,0.12118
6.65,46,-6.834,0.11732000000000001
6.65,47,-7.572,0.11823499999999999
6.65,48,-9.015,0.091675
6.65,49,-9.077,0.08494
6.7,0,12.277000000000001,0.29594000000000004
6.7,1,11.317,0.26794
6.7,2,10.713,0.25544
6.7,3,10.245999999999999,0.25359
6.7,4,9.841000000000001,0.25529
6.7,5,9.432,0.257315
6.7,6,9.02,0.249875
6.7,7,8.591000000000001,0.24180500000000002
6.7,8,8.166,0.230345
6.7,9,7.766,0.21694499999999997
6.7,10,6.952999999999999,0.19552999999999998
6.7,11,6.167000000000001,0.180805
6.7,12,5.474,0.164915
6.7,13,4.9110000000000005,0.1519
6.7,14,4.417,0.13721
6.7,15,3.8819999999999997,0.1205
6.7,16,3.465,0.102075
6.7,17,3.102,0.08289500000000001
6.7,18,2.8,0.05945
6.7,19,2.5140000000000002,0.029455000000000002
6.7,20,2.262,0.00248
6.7,21,2.064,-0.015455000000000002
6.7,22,1.901,-0.01984
6.7,23,1.8259999999999998,-0.0209
6.7,24,1.702,-0.01845
6.7,25,1.484,-0.00908
6.7,26,1.156,0.013555000000000001
6.7,27,0.6970000000000001,0.0397
6.7,28,0.445,0.048905000000000004
6.7,29,0.324,0.05313
6.7,30,0.01,0.06258
6.7,31,-0.25,0.07003
6.7,32,-0.496,0.07399
6.7,33,-0.9309999999999999,0.08142
6.7,34,-1.305,0.085605
6.7,35,-1.903,0.09228
6.7,36,-1.98,0.093525
6.7,37,-2.633,0.10095499999999999
6.7,38,-2.75,0.10244500000000001
6.7,39,-3.4010000000000002,0.10714000000000001
6.7,40,-3.6689999999999996,0.11138499999999998
6.7,41,-4.289,0.11663
6.7,42,-4.36,0.11663
6.7,43,-5.048,0.11865
6.7,44,-5.735,0.116935
6.7,45,-6.106,0.118995
6.7,46,-6.479,0.120055
6.7,47,-7.131,0.11868499999999998
6.7,48,-8.146,0.10820999999999999
6.7,49,-8.191,0.10520999999999998
6.75,0,12.277000000000001,0.29594000000000004
6.75,1,11.317,0.26794
6.75,2,10.713,0.25544
6.75,3,10.245999999999999,0.25359
6.75,4,9.841000000000001,0.25529
6.75,5,9.432,0.257315
6.75,6,9.02,0.249875
6.75,7,8.591000000000001,0.24180500000000002
6.75,8,8.166,0.230345
6.75,9,7.766,0.21694499999999997
6.75,10,6.952999999999999,0.19552999999999998
6.75,11,6.167000000000001,0.180805
6.75,12,5.474,0.164915
6.75,13,4.91,0.1509
6.75,14,4.417,0.136965
6.75,15,3.8810000000000002,0.1195
6.75,16,3.465,0.102075
6.75,17,3.102,0.08289500000000001
6.75,18,2.8,0.05945
6.75,19,2.5140000000000002,0.029455000000000002
6.75,20,2.262,0.00248
6.75,21,2.064,-0.015455000000000002
6.75,22,1.9,-0.020595
6.75,23,1.8259999999999998,-0.0209
6.75,24,1.704,-0.01845
6.75,25,1.484,-0.009325
6.75,26,1.155,0.012555
6.75,27,0.6970000000000001,0.0397
6.75,28,0.555,0.045925
6.75,29,0.322,0.05313
6.75,30,0.006999999999999999,0.06258
6.75,31,-0.254,0.07003
6.75,32,-0.501,0.074745
6.75,33,-0.94,0.08042
6.75,34,-1.3159999999999998,0.08636
6.75,35,-1.7730000000000001,0.0913
6.75,36,-2.0,0.09377
6.75,37,-2.4859999999999998,0.099975
6.75,38,-2.7910000000000004,0.1022
6.75,39,-3.4589999999999996,0.10865
6.75,40,-3.4789999999999996,0.107895
6.75,41,-4.242,0.11438499999999999
6.75,42,-4.437,0.11614000000000001
6.75,43,-4.821000000000001,0.118405
6.75,44,-5.481,0.116935
6.75,45,-6.294,0.118565
6.75,46,-6.81,0.11364500000000001
6.75,47,-7.188,0.117745
6.75,48,-7.221,0.116745
6.75,49,-7.23,0.1165
6.8,0,12.277000000000001,0.29594000000000004
6.8,1,11.317,0.26794
6.8,2,10.713,0.25544
6.8,3,10.245999999999999,0.25359
6.8,4,9.841000000000001,0.25529
6.8,5,9.432,0.257315
6.8,6,9.02,0.249875
6.8,7,8.591000000000001,0.24180500000000002
6.8,8,8.166,0.230345
6.8,9,7.766,0.21694499999999997
6.8,10,6.952999999999999,0.19552999999999998
6.8,11,6.167000000000001,0.180805
6.8,12,5.474,0.165915
6.8,13,4.91,0.1509
6.8,14,4.416,0.13721
6.8,15,3.8810000000000002,0.1195
6.8,16,3.465,0.102075
6.8,17,3.102,0.08289500000000001
6.8,18,2.8,0.05945
