logt,num,r,r-i
6.6,0,12.277000000000001,1.588
6.6,1,11.317,1.3880000000000001
6.6,2,10.713,1.288
6.6,3,10.245999999999999,1.217
6.6,4,9.841000000000001,1.158
6.6,5,9.432,1.113
6.6,6,9.02,1.025
6.6,7,8.591000000000001,0.9109999999999999
6.6,8,8.166,0.8190000000000001
6.6,9,7.766,0.7390000000000001
6.6,10,6.952999999999999,0.606
6.6,11,6.167999999999999,0.512
6.6,12,5.474,0.433
6.6,13,4.9110000000000005,0.38
6.6,14,4.418,0.342
6.6,15,3.8819999999999997,0.3
6.6,16,3.465,0.265
6.6,17,3.103,0.23
6.6,18,2.8,0.19
6.6,19,2.5140000000000002,0.141
6.6,20,2.261,0.096
6.6,21,2.063,0.057999999999999996
6.6,22,1.901,0.032
6.6,23,1.8259999999999998,0.02
6.6,24,1.699,0.01
6.6,25,1.484,-0.016
6.6,26,1.156,-0.039
6.6,27,0.6970000000000001,-0.061
6.6,28,0.327,-0.07400000000000001
6.6,29,0.205,-0.078
6.6,30,0.013999999999999999,-0.085
6.6,31,-0.243,-0.094
6.6,32,-0.48700000000000004,-0.102
6.6,33,-0.917,-0.11599999999999999
6.6,34,-1.285,-0.129
6.6,35,-1.9469999999999998,-0.146
6.6,36,-2.688,-0.162
6.6,37,-2.915,-0.166
6.6,38,-3.303,-0.17300000000000001
6.6,39,-4.044,-0.17600000000000002
6.6,40,-4.102,-0.17600000000000002
6.6,41,-4.798,-0.175
6.6,42,-5.303999999999999,-0.174
6.6,43,-5.369,-0.174
6.6,44,-6.14,-0.165
6.6,45,-6.86,-0.142
6.6,46,-7.247000000000001,-0.131
6.6,47,-7.989,-0.096
6.6,48,-8.81,-0.044000000000000004
6.65,0,12.277000000000001,1.588
6.65,1,11.317,1.3880000000000001
6.65,2,10.713,1.288
6.65,3,10.245999999999999,1.218
6.65,4,9.841000000000001,1.158
6.65,5,9.432,1.113
6.65,6,9.02,1.025
6.65,7,8.591000000000001,0.9109999999999999
6.65,8,8.166,0.8190000000000001
6.65,9,7.766,0.7390000000000001
6.65,10,6.952999999999999,0.606
6.65,11,6.167000000000001,0.511
6.65,12,5.474,0.433
6.65,13,4.9110000000000005,0.38
6.65,14,4.418,0.34299999999999997
6.65,15,3.8819999999999997,0.3
6.65,16,3.465,0.265
6.65,17,3.103,0.23
6.65,18,2.8,0.19
6.65,19,2.5140000000000002,0.141
6.65,20,2.261,0.095
6.65,21,2.064,0.059000000000000004
6.65,22,1.901,0.032
6.65,23,1.8259999999999998,0.02
6.65,24,1.7,0.01
6.65,25,1.484,-0.016
6.65,26,1.156,-0.039
6.65,27,0.6970000000000001,-0.061
6.65,28,0.335,-0.07400000000000001
6.65,29,0.326,-0.07400000000000001
6.65,30,0.317,-0.07400000000000001
6.65,31,0.012,-0.085
6.65,32,-0.247,-0.095
6.65,33,-0.491,-0.102
6.65,34,-0.924,-0.11599999999999999
6.65,35,-1.294,-0.128
6.65,36,-1.963,-0.146
6.65,37,-2.715,-0.161
6.65,38,-2.75,-0.162
6.65,39,-3.3489999999999998,-0.172
6.65,40,-3.859,-0.175
6.65,41,-4.19,-0.175
6.65,42,-4.58,-0.175
6.65,43,-5.275,-0.172
6.65,44,-5.611000000000001,-0.16699999999999998
6.65,45,-5.864,-0.16399999999999998
6.65,46,-6.834,-0.136
6.65,47,-7.572,-0.10300000000000001
6.65,48,-9.015,-0.015
6.65,49,-9.077,-0.012
6.7,0,12.277000000000001,1.588
6.7,1,11.317,1.3880000000000001
6.7,2,10.713,1.288
6.7,3,10.245999999999999,1.218
6.7,4,9.841000000000001,1.158
6.7,5,9.432,1.113
6.7,6,9.02,1.025
6.7,7,8.591000000000001,0.9109999999999999
6.7,8,8.166,0.8190000000000001
6.7,9,7.766,0.7390000000000001
6.7,10,6.952999999999999,0.606
6.7,11,6.167000000000001,0.511
6.7,12,5.474,0.433
6.7,13,4.9110000000000005,0.38
6.7,14,4.417,0.342
6.7,15,3.8819999999999997,0.3
6.7,16,3.465,0.265
6.7,17,3.102,0.22899999999999998
6.7,18,2.8,0.19
6.7,19,2.5140000000000002,0.141
6.7,20,2.262,0.096
6.7,21,2.064,0.059000000000000004
6.7,22,1.901,0.032
6.7,23,1.8259999999999998,0.02
6.7,24,1.702,0.01
6.7,25,1.484,-0.016
6.7,26,1.156,-0.039
6.7,27,0.6970000000000001,-0.06
6.7,28,0.445,-0.069
6.7,29,0.324,-0.07400000000000001
6.7,30,0.01,-0.084
6.7,31,-0.25,-0.094
6.7,32,-0.496,-0.102
6.7,33,-0.9309999999999999,-0.11599999999999999
6.7,34,-1.305,-0.129
6.7,35,-1.903,-0.14400000000000002
6.7,36,-1.98,-0.145
6.7,37,-2.633,-0.159
6.7,38,-2.75,-0.161
6.7,39,-3.4010000000000002,-0.172
6.7,40,-3.6689999999999996,-0.17300000000000001
6.7,41,-4.289,-0.174
6.7,42,-4.36,-0.174
6.7,43,-5.048,-0.17
6.7,44,-5.735,-0.163
6.7,45,-6.106,-0.151
6.7,46,-6.479,-0.139
6.7,47,-7.131,-0.113
6.7,48,-8.146,-0.057999999999999996
6.7,49,-8.191,-0.057999999999999996
6.7,50,-7.631,-0.095
6.7,51,-7.5329999999999995,-0.102
6.7,52,-7.444,-0.106
6.7,53,-7.388,-0.11199999999999999
6.7,54,-7.452000000000001,-0.107
6.7,55,-7.5,-0.106
6.7,56,-7.542000000000001,-0.10400000000000001
6.7,57,-7.587999999999999,-0.10300000000000001
6.7,58,-7.638,-0.1
6.7,59,-7.682,-0.098
6.7,60,-7.739,-0.094
6.7,61,-7.8020000000000005,-0.091
6.7,62,-7.853,-0.087
6.7,63,-7.9079999999999995,-0.084
6.7,64,-7.974,-0.081
6.7,65,-8.031,-0.075
6.7,66,-8.093,-0.067
6.7,67,-8.149,-0.06
6.7,68,-8.218,-0.06
6.7,69,-8.294,-0.059000000000000004
6.7,70,-8.374,-0.057999999999999996
6.7,71,-8.457,-0.054000000000000006
6.7,72,-8.546,-0.046
6.7,73,-8.639,-0.037000000000000005
6.7,74,-8.729,-0.027999999999999997
6.7,75,-8.792,-0.025
6.7,76,-8.871,-0.021
6.7,77,-8.948,-0.016
6.7,78,-9.023,-0.012
6.7,79,-9.091000000000001,-0.004
6.7,80,-9.142999999999999,0.009000000000000001
6.7,81,-9.203,0.02
6.7,82,-9.226,0.027999999999999997
6.7,83,-9.269,0.036000000000000004
6.7,84,-9.321,0.049
6.7,85,-9.377,0.075
6.7,86,-9.439,0.12300000000000001
6.7,87,-9.555,0.311
6.7,88,-9.568,0.447
6.7,89,-9.584,0.451
6.75,0,12.277000000000001,1.588
6.75,1,11.317,1.3880000000000001
6.75,2,10.713,1.288
6.75,3,10.245999999999999,1.218
6.75,4,9.841000000000001,1.158
6.75,5,9.432,1.113
6.75,6,9.02,1.025
6.75,7,8.591000000000001,0.9109999999999999
6.75,8,8.166,0.8190000000000001
6.75,9,7.766,0.7390000000000001
6.75,10,6.952999999999999,0.606
6.75,11,6.167000000000001,0.511
6.75,12,5.474,0.433
6.75,13,4.91,0.38
6.75,14,4.417,0.34299999999999997
6.75,15,3.8810000000000002,0.3
6.75,16,3.465,0.265
6.75,17,3.102,0.22899999999999998
6.75,18,2.8,0.19
6.75,19,2.5140000000000002,0.141
6.75,20,2.262,0.096
6.75,21,2.064,0.059000000000000004
6.75,22,1.9,0.031
6.75,23,1.8259999999999998,0.02
6.75,24,1.704,0.01
6.75,25,1.484,-0.015
6.75,26,1.155,-0.039
6.75,27,0.6970000000000001,-0.06
6.75,28,0.555,-0.065
6.75,29,0.322,-0.07400000000000001
6.75,30,0.006999999999999999,-0.084
6.75,31,-0.254,-0.094
6.75,32,-0.501,-0.10099999999999999
6.75,33,-0.94,-0.11599999999999999
6.75,34,-1.3159999999999998,-0.128
