#r,Jmag,J_H
9.69972,14.562,0.37800026
9.73566,16.447,0.8820009
9.85032,14.072,0.5779991
9.74688,16.712,0.6170006
9.7206,14.973,0.7769995
9.44238,15.888,0.6819992
9.91386,16.729,0.83399963
9.88752,16.12,0.38500118
9.45072,15.62,0.5979996
9.87762,16.52,0.69900036
9.780180000000001,16.624,0.82000065
9.715200000000001,15.275,0.63799953
9.44322,15.591,0.47999954
9.74982,15.866,0.91600037
9.81954,13.311,0.849
9.80958,15.871,0.658
9.47892,16.317,0.7209997
9.737279999999998,14.041,0.38300037
9.07164,14.78,0.85499954
9.870719999999999,14.625,1.1280003
9.381780000000001,17.112,1.382
9.3786,15.742,0.62699986
9.1833,16.114,0.76900005
9.139859999999999,14.613,0.29500008
9.852419999999999,14.051,0.62599945
9.2256,16.486,0.33799934
9.575460000000001,15.679,0.6359997
9.09384,16.468,0.47100067
9.2589,15.561,0.6149998
9.51756,16.319,0.5250006
9.92088,15.348,0.5909996
9.698640000000001,17.215,0.9899998
9.36996,15.882,0.8199997
9.79008,16.011,0.61100006
9.715200000000001,15.298,0.7410002
9.96534,14.637,0.5489998
9.77106,13.938,0.66399956
9.69858,14.744,0.47500038
9.95808,15.811,0.7609997
9.80604,16.657,0.7119999
9.755939999999999,16.819,0.908
9.80382,16.436,0.48400116
9.904860000000001,14.396,0.6630001
9.9192,14.987,0.55400085
9.581940000000001,16.087,0.43099976
9.05952,16.145,2.1590004
9.47322,12.529,0.90700054
9.04218,15.586,0.7960005
9.129000000000001,13.696,0.36100006
9.45822,14.597,0.5609999
9.582,15.573,0.7959995
9.252,16.239,0.60200024
7.709039999999999,15.476,0.34899998
8.19168,14.41,0.35200024
8.90322,16.293,0.6179991
9.6882,14.095,0.3540001
8.83218,16.119,0.5239992
8.6166,16.083,0.74800014
7.84002,14.835,0.40400028
9.05796,15.347,0.5159998
9.6678,15.943,0.5209999
9.351239999999999,15.694,0.7049999
9.4344,13.138,0.4239998
8.70702,15.134,0.58500004
9.82662,15.705,0.20300007
8.435880000000001,13.784,0.47200012
8.643239999999999,15.39,0.90600014
9.43746,15.203,0.6520004
9.7548,14.892,0.6690006
8.79336,15.976,0.9180002
8.1756,13.566,0.40600014
9.7047,15.016,0.7419996
9.817499999999999,14.691,0.10499954
9.07326,16.785,0.8299999
9.88758,16.143,0.48099995
9.219180000000001,15.958,0.4790001
9.3219,13.378,0.3390007
9.11538,14.396,0.58899975
7.92666,16.528,0.88199997
9.414060000000001,11.06,0.7890005
8.0412,11.143,0.9039993
9.24048,16.17,0.5869999
9.031559999999999,15.667,0.8529997
8.61924,15.862,0.8430004
9.712259999999999,14.982,0.79100037
9.95832,16.354,0.62800026
8.33358,15.347,0.3920002
9.818700000000002,16.456,0.9779997
8.23416,15.961,0.77800083
8.7507,16.715,1.0019999
9.51528,14.935,0.7940006
7.4883,15.801,1.0619993
9.547979999999999,16.053,0.51699924
7.969259999999999,11.714,0.32299995
9.88116,14.272,0.7730007
9.969059999999999,15.93,0.5430002
8.298,14.74,0.51799965
8.667720000000001,15.731,0.32800007
9.83142,16.189,0.730999
9.432360000000001,16.279,0.6739998
7.709339999999999,15.236,0.6079998
7.910100000000001,15.17,0.44900036
9.01098,14.159,0.47399998
9.783,16.592,1.1699991
9.432120000000001,16.525,0.48999977
8.02668,16.51,0.41399956
8.86482,16.497,0.6119995
7.5945,14.322,0.48799992
9.876660000000001,15.922,0.6140003
8.36736,13.013,0.37599945
7.750979999999999,15.041,0.87400055
9.535440000000001,15.335,0.6079998
9.70506,16.817,1.164999
7.87308,16.279,0.43799973
9.06636,16.649,0.45300102
7.61514,17.091,0.91399956
9.14544,14.962,0.36600018
9.81948,16.041,0.29800034
8.21166,16.116,0.3989992
9.485759999999999,15.981,0.7410002
9.8691,16.28,0.8990011
7.129079999999999,16.728,0.55599976
9.0534,16.229,0.89400005
7.960140000000001,14.721,0.43499947
7.07388,14.348,0.38099957
6.89034,8.92,0.60999966
9.2577,15.921,0.73099995
7.554359999999999,14.417,0.9790001
7.33824,14.903,0.375
7.81986,12.645,1.1080008
7.9581,15.852,0.6890001
8.87946,17.092,0.9959984
7.36374,14.165,0.55599976
8.23014,15.021,0.39299965
7.27158,13.557,0.94799995
7.5471,15.931,0.55499935
8.33568,15.585,0.43799973
8.15112,15.485,0.58799934
9.11736,12.518,0.9790001
8.99334,16.398,0.776001
7.310580000000001,16.706,0.5339985
7.53012,14.462,0.6289997
7.936800000000001,13.413,0.6359997
7.63374,16.287,0.5560007
8.363579999999999,15.958,0.52299976
8.18922,16.763,0.94900036
7.7083200000000005,17.099,0.7560005
7.44924,14.426,0.5789995
7.1349,15.314,0.6339998
8.51436,16.47,0.980999
7.227,13.661,0.36400032
8.32344,14.663,0.5109997
7.983420000000001,16.443,0.644001
6.79134,16.743,0.7010002
6.791939999999999,15.725,0.7790003
8.12292,15.886,0.5319996
9.21846,14.971,0.3739996
7.845899999999999,16.408,0.5300007
6.3384,16.422,1.4450006
6.891839999999999,15.907,0.651
6.07902,14.461,0.31400013
6.61014,16.729,0.703001
6.79722,15.008,0.3010006
7.77936,15.473,0.6279993
6.34596,16.326,1.342
7.54956,16.318,0.6150007
7.48932,15.344,0.6859999
7.97796,14.85,0.5680008
7.32054,15.822,0.7199993
7.1684399999999995,16.377,0.5800009
8.87166,16.023,0.6920004
7.01808,15.052,0.3039999
7.3551,16.852,0.8139992
7.12446,16.261,0.59299946
6.6258,15.329,0.6930008
6.28242,15.883,0.55800056
9.09468,16.259,0.43900108
8.333340000000002,15.419,0.6939993
6.22362,14.21,0.6000004
5.769,15.21,0.46899986
8.441699999999999,14.328,0.50699997
5.54298,16.362,0.78799915
8.3661,16.818,0.5020008
5.9268,15.858,0.4460001
8.92128,15.293,0.6100006
5.92962,16.303,0.32699966
7.877759999999999,16.703,0.075998306
6.71274,15.874,0.8369999
6.16254,16.476,0.5760002
8.95992,14.119,0.2670002
9.1047,15.94,0.85399914
7.76658,16.72,-0.09600067
8.47986,15.176,0.64199924
6.3033,15.486,0.7609997
7.18104,16.575,0.58200073
6.35514,13.594,0.8359995
7.0053,14.582,0.39400005
8.6343,16.162,0.4100008
9.297360000000001,15.077,0.6069994
7.644239999999999,15.03,0.28100014
9.111,16.703,0.8679991
8.546100000000001,15.794,0.44199944
8.38122,15.907,0.78999996
6.71994,16.482,0.21700096
7.13772,15.717,0.4250002
8.34918,16.162,0.72900105
8.18814,15.894,0.5290003
7.823640000000001,14.626,0.5600004
5.88606,15.718,0.45800018
7.529459999999999,13.866,0.83600044
8.95068,16.398,0.6850004
